energy_eV,"F19(n,elastic)","F19(n,absorption)","Li6(n,elastic)","Li6(n,inelastic)","Li6(n,t)","Li7(n,elastic)","Li7(n,inelastic)","Li7(n,Xt)","Be9(n,elastic)","Be9(n,absorption)","U235(n,elastic)","U235(n,inelastic)","U235(n,2n)","U235(n,gamma)","U235(n,fission)","U238(n,elastic)","U238(n,inelastic)","U238(n,2n)","U238(n,gamma)","U238(n,fission)"
67.50985,0.176748057,9.11072807e-06,0.00107508911,0,0.0261297652,0.0181036554,0,0,0.0590793623,1.60774286e-06,0.000192460453,0,0,2.57167901e-05,3.82150422e-05,0.0620191602,0,0,0.00673754017,1.14860502e-08
68.76764,0.176747953,9.03013171e-06,0.0010750712,0,0.0258755258,0.0181110724,0,0,0.0590791691,1.59324175e-06,0.000173315991,0,0,5.81026436e-05,9.87196165e-05,0.0435875741,0,0,0.00188910716,2.59043771e-09
70.1385,0.176747855,8.94400149e-06,0.00107505206,0,0.0256334407,0.0181191639,0,0,0.0590789585,1.57743704e-06,0.000153181411,0,0,0.000355933607,0.00108296832,0.0371747261,0,0,0.00086704511,1.04200517e-09
71.7978,0.176747736,8.84671688e-06,0.00107502889,0,0.025340419,0.018128958,0,0,0.0590787036,1.5583069e-06,0.00019011059,0,0,9.81237856e-05,0.000263128397,0.0335033155,0,0,0.00048731438,6.32669859e-10
72.81454,0.176747663,8.78710551e-06,0.00107501469,0,0.0251608693,0.0181349593,0,0,0.0590785474,1.54658486e-06,0.000227304186,0,0,0.000118519194,0.000560121143,0.0320708788,0,0,0.000460704034,5.8408011e-10
74.16608,0.176747566,8.70786484e-06,0.00107499582,0,0.024922196,0.0181429367,0,0,0.0590783398,1.53100289e-06,0.000160190902,0,0,0.000314467056,0.000441249996,0.0306170682,0,0,0.00028947134,6.13777504e-10
75.99617,0.176747456,8.61088387e-06,0.00107497045,0,0.0246197456,0.0181537403,0,0,0.059078074,1.51246587e-06,0.000225070231,0,0,7.249666e-05,0.000230111484,0.0290521209,0,0,0.00024489658,7.7755691e-10
77.50208,0.176747366,8.53108199e-06,0.0010749497,0,0.0243851518,0.0181626311,0,0,0.0590778658,1.4989774e-06,0.00018781704,3.35122535e-15,0,0.000189357554,0.000471096782,0.0278532595,0,0,0.000261233761,1.09782391e-09
79.03168,0.176747274,8.45002472e-06,0.00107492862,0,0.0241468676,0.0181716617,0,0,0.0590776543,1.48527674e-06,0.0001912416,2.8273884e-14,0,2.72951752e-05,0.000127033339,0.0262617157,0,0,0.000470647487,2.23494139e-09
79.93637,0.17674722,8.40208296e-06,0.00107491616,0,0.0240059331,0.0181770029,0,0,0.0590775292,1.47717341e-06,0.000189366306,4.33021886e-14,0,0.000154514968,0.000337752061,0.0238579099,0,0,0.00271657235,9.5929341e-09
