energy_mid_eV,"U (n,2n)","U (n,2n) err",U nu-fission,U nu-fission err,"U (n,elastic)","U (n,elastic) err","U (n,n')","U (n,n') err"
38.38788377145437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.03115368937763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.685202950850254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.350212186497274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.02636505379068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.71384828777053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.41285175261615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.123568494081454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.84619479280893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.58093021853696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.32797768521566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0875435070461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.85983745545876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.645072817046625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
