filename,fertile_kg/m3,fertile_mt,energy mid [eV],mean
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0022558629278347,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0023083699945419,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0023620992064514,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0024170790099988,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.002473338513734,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0025309075037323,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0025898164593646,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0026500965694339,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0027117797486887,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0027748986547192,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.002839486705248,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0029055780958228,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0029732078179206,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0030424116774742,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0031132263138286,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0031856892191398,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0032598387582248,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.003335714188873,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0034133556826314,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0034928043460728,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0035741022425591,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0036572924145119,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0037424189062003,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0038295267870602,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0039186621755557,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0040098722635961,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0041032053415213,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0041987108236684,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0042964392745341,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0043964424355452,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0044987732524531,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0046034859033649,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0047106358274277,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0048202797541806,0.0
